JobKit,Category,DisplayName,SortOrder,Notes,
842-UNPLND-REM-LOG-ACC574P1,TRAVELER,UPLND REMOVAL LOG ACC574P1,2,,
842-UNPLND-REM-LOG-ACC371P2,TRAVELER,UPLND REMOVAL LOG ACC371,3,,
842-FOD-POS6-001,TRAVELER,HIGH RISK FOD SWEEP  FC PRIOR TO MOVE TO EDC,,TESTING,
842-719974-E001,TRAVELER,EMC LAIRCM  15 DAY INSPECTION,,,
842-LINEMOVE-001,TRAVELER,LINE MOVE EMC TO FULE DOCK,,,
842-349500-BOOMTRANSPORT,TRAVELER,BOOM TRANPORT,,,
842-100100-E001,TRAVELER,EMC MGT TOOL RECONCILIATION PRIOR TO EMC MOVE,,TESTING #2,
842-MOVEPREP-POS4-001,TRAVELER,PREP FOR LINE MOVE POS 4,,,
842-FOD-EMC-FLOORBOARDREM-001,TRAVELER,REMOVE FLOOR BOARDS FOR FOD AT EMC,,,
842-416194-I001,TRAVELER,REMOVE -2C OXY BOTTLE PROVISIONS,,,
842-COLLECTOR-EMC,TRAVELER,NCR COLLECTOR FOR EMC,,,
842-349501-1,TRAVELER,"ARB ASSY FINAL, BOOM SHOP",,,
842-349500-10,TRAVELER,ARB END ITEM,,,
842-349200-I001,TRAVELER,BOOM ALLOCATION ,,,
PRE842-LAIRCM-LH-REM,TRAVELER,LAIRCM PRE REMOVALS,,TESTING #3,
842-286828-E001,TRAVELER,LOOSE PARTS KIT,,,
842-447180-I015,TRAVELER,UNPLANNED REMOVAL LOG ACC574P1,1,,
842-712887-6-FT001,FUEL DOCK,FULE #1: FRV WET FUNCTIONAL TEST,1,,
842-712891-FT002,FUEL DOCK,FUEL #2: AR FUEL ONLOAD TEST AND RESTORATION,2,,
842-712870-1-FT001,FUEL DOCK,FUEL #3: AR BOOM SYS PROOF PRESSURE & FUEL OFFLOAD,3,,
842-712862-FT001,FUEL DOCK,FUEL#4: AR SYSTEM BOOM M-BIT AND I-BIT TEST,4,,
842-712881-2-FT001,FUEL DOCK,"FULE #5: CDS SETUP DEPLOYMENT LEAK TEST AND REWIND/STOW",5,,
842-349330-I013,FUEL DOCK,FUEL #6: INSTALL CDS DROGUE ASSY,6,,
842-UNPLND-REM-LOG-ACC875P1,FUEL DOCK,FUEL #7: UNPLND REMOVAL LOG ACC875P1,7,,
842-CPSTATUS-POS5-001,FUEL DOCK,FUEL #8: ACC 875 CLOSE OUT,8,,
842-719972-E001,LAIRCM,LAIRCM PREP FOR SHOOT,2,,
842-719972-FT002,LAIRCM,LAIRCM SHOOT @COMPASS ROSE,3,,
842-719976-FT002,LAIRCM,JAPAN LAIRCM SHOOT @COMPASS ROSE,3,,
842-719974-E004,LAIRCM,LAIRCM 15 DAY  INSPECTION,1,,
842-719974-E005,LAIRCM,LAIRCM 15 DAY  INSPECTION,1,,
842-719976-FT001,LAIRCM,LAIRCM PROGRAMMING,4,,
842-284824-I003,LAIRCM,ACM CARD INSTALLATION,5,,
842-349330-I007,CDS,CDS SQUIB INSTL,1,,
842-FOD-EDC-CDS,CDS,FOD SWEEP OF CDS BAY AT EDC,2,,
842-349501_NCR_COLL,BOOM,BOOM NCR COLLECTOR,1,,
842-349501_REM_LOG,BOOM,BOOM UNPLN RMV LOG,2,,
842-COLLECTOR-EDC,MISC,NCR COLLECTOR FOR EMC,1,,
842-UNPLND-REM-LOG-ACC876P1,MISC,UNPLND RMV LOG ACC876P1,2,,
842-416190-R001,MISC,"SALVAGE REMOVE AND SCRAP PARTS",6,,
842-284831-I003,MISC,PRE-DELIVERY BATTERY LIFE CHECK AND REPLACEMENT,7,,
842-284836-I001,MISC,JAPAN BATTERY LIFE CHECK AND REPLACEMENT,8,,
BL842-284833-PRRB15041-1-FT001,MISC,DTD BUILD,9,,
842-416195-I002,MISC,FILL EXTINGUISHER-WATER WITH AC-40,3,,
842-416195-I003,MISC,INSTALL FIRE EXTINGUISHERS,4,,
842-712311-FT001,MISC,MIL HF COMM SYSTEM FTP,5,,
842-713521-FT001,OXY,"RECHARGER INTEGRAL AE & AFT ATTENDANT SEATS  FTP",1,,
842-417410-I004,OXY,"CONNECT OXY SYSTEM, ACMC",2,,
842-417410-I002,OXY,"OXYGEN SYSTEM CONNECTION INSTL, AFT MDCC",3,,
842-416192-E001,OXY,ROUTE MA-1 OXY BOTTLES TO FILL,4,,
842-416192-I002,OXY,INSTALL ACMC MA-1 OXY BOTTLE,5,,
842-416192-I007,OXY,"INSTALL OXY BOTTLE/MASK, MAIN DECK CARGO COMPARTMENT",6,,
842-416192-I018,OXY,"MA-1 OXY BOTTLE INSTL, AFT CLOSET",7,,
842-416193-I001,OXY,MA-1 OXY BOTTLE BRACKET INSTL - FLIGHT DECK,8,,
842-416192-I001,OXY,INSTALL FLIGHT DECK MA-1 OXY BOTTLE,9,,
842-416192-FI002,OXY,INSTALL OXY BOTTLE PRE'S,10,,
842-CLASSIFIED-LAYUP-001,CLASSIFIED,CLASSIFIED LAYUP COST COLLECTION JOB,1,,
842-719951-FT002,CLASSIFIED,CLASSIFIED - FTP- RADIO FREQUENCY DEFENSE,2,,
842-719951-3-FT002,CLASSIFIED,JAPAN RWR TEST,6,,
842-712329-FT001,CLASSIFIED,CLASSIFIED FTP- INTELLIGENCE BROADCAST RECEIVER,3,,
842-714622-4-FT001,CLASSIFIED,FTP � TANKER TSAS JREAP,5,,
842-712328-2-FT001,CLASSIFIED,FTP � MIDS SYSTEM TEST,4,,
842-284825-I017,RWR,CMSP INSTALL/HOOKUP,1,,
842-284870-I001-NOSE,RWR,RWR INSTALL NOSE,2,,
842-284870-I004-LWING,RWR,RWR INSTALL LWING,3,,
842-284870-I009-RWING,RWR,RWR INSTALL RWING,4,,
842-284870-I010-TAIL,RWR,RWR INSTALL TAIL,5,,
842-288286-H008,RWR,RWR HOOKUPS LWING,6,,
842-288286-H006,RWR,RWR HOOKUPS RWING,7,,
842-288286-H005,RWR,RWR HOOKUPS NOSE,8,,
